ei	N CTs	N variants g	N PMIDs Chemicals	Gene	pLI	Gene Full Name	First Ref.	Last Ref.	N Chemicals	N PMIDs	score	N diseases g	My Score	DSI g	DPI g	N variants gda
0.955470737913486	12	2249	0	LDLR	1.1561E-30	low density lipoprotein receptor	1952	2025	0	951	1.0	37		0.45	0.88	1255
0.9130434782608695	20	666	0	PCSK9	1.0678E-20	proprotein convertase subtilisin/kexin type 9	2003	2024	0	121	1.0	15		0.43	0.83	336
0.860655737704918	42	1223	0	APOB	1.1639E-11	apolipoprotein B	1989	2023	0	44	1.0	47		0.41	0.88	37
0.6666666666666666	26	61	0	APOA1	5.2702E-7	apolipoprotein A1			0	0	0.95	45		0.4	0.88	0
0.8928571428571429	4	194	0	LDLRAP1	1.2591E-8	low density lipoprotein receptor adaptor protein 1	2003	2021	0	3	0.9	6		0.6	0.75	42
0.9333333333333333	1	16	0	HMGCR	0.99941	3-hydroxy-3-methylglutaryl-CoA reductase	2003	2003	0	1	0.9	33		0.47	0.88	0
0.7	0	46	0	APOE	2.5529E-4	apolipoprotein E	2005	2005	0	1	0.9	105		0.35	0.92	5
0.9090909090909091	1	256	0	LPL	3.0524E-12	lipoprotein lipase	2005	2005	0	1	0.8	39		0.47	0.83	0
1.0	1	15	0	APOC3	0.0012245	apolipoprotein C3	2005	2005	0	1	0.8	24		0.49	0.79	0
1.0	0	221	0	MTTP	6.4626E-7	microsomal triglyceride transfer protein			0	0	0.7	12		0.55	0.79	0
0.8571428571428571	0	306	0	ABCA1	2.0444E-12	ATP binding cassette subfamily A member 1	2005	2005	0	1	0.65	34		0.46	0.88	1
1.0	0	105	0	LIPC	1.2162E-10	lipase C, hepatic type	2005	2005	0	1	0.65	22		0.53	0.75	0
1.0	0	7	0	EPHX2	4.6556E-22	epoxide hydrolase 2			0	0	0.65	16		0.49	0.88	0
0.8888888888888888	0	5	0	PON1	8.2563E-12	paraoxonase 1	2005	2005	0	2	0.6	93		0.42	0.92	0
0.6666666666666666	0	3	0	APOA4	5.7529E-7	apolipoprotein A4	2005	2005	0	1	0.6	11		0.52	0.88	0
1.0	0	4	0	PON2	2.3818E-7	paraoxonase 2	2005	2005	0	1	0.6	13		0.55	0.83	0
1.0	0	141	0	GHR	0.15541	growth hormone receptor			0	0	0.55	26		0.47	0.83	0
1.0	1	9	0	APOA2	0.34884	apolipoprotein A2	2002	2002	0	1	0.5	4		0.52	0.88	0
	0	4	0	PPP1R17	2.6715E-4	protein phosphatase 1 regulatory subunit 17			0	0	0.45	4		0.63	0.63	0
1.0	0	5	0	ADRB2	0.0010085	adrenoceptor beta 2			0	0	0.45	53		0.45	0.92	0
1.0	0	128	0	LDLR-AS1		LDLR antisense RNA 1	1992	2023	0	90	0.4	6		0.83	0.13	70
1.0	0	423	0	MIR6886		microRNA 6886	1984	2022	0	58	0.4	4		0.81	0.13	261
	0	0	0	LOC106560211		APOB 5' regulatory region			0	0	0.4	5		0.85	0.08	0
	0	0	0	APOB3'MAR		APOB 3' scaffold/matrix attachment region			0	0	0.4	5		0.85	0.08	0
	0	0	0	LOC129929773		ATAC-STARR-seq lymphoblastoid silent region 456			0	0	0.4	2		0.94	0.08	0
