ei	N CTs	N variants g	N PMIDs Chemicals	Gene	pLI	Gene Full Name	First Ref.	Last Ref.	N Chemicals	N PMIDs	score	N diseases g	My Score	DSI g	DPI g	N variants gda
0.9712199312714777	93	2607	0	CFTR	2.1646E-39	CF transmembrane conductance regulator	1969	2025	0	1764	1.0	56		0.4	0.88	2489
1.0	7	49	0	TGFB1	0.025965	transforming growth factor beta 1	1993	2020	0	21	1.0	142		0.28	0.92	4
0.9365079365079365	5	170	0	SERPINA1	8.1899E-7	serpin family A member 1	1993	2020	0	22	0.95	46		0.38	0.88	1
0.8125	43	9	0	TNF	0.85687	tumor necrosis factor			0	0	0.9	315		0.25	0.96	0
0.8529411764705882	24	5	0	IL1B	0.48761	interleukin 1 beta			0	0	0.9	166		0.28	0.96	0
0.8666666666666667	8	22	0	MPO	3.2783E-16	myeloperoxidase			0	0	0.9	55		0.38	0.92	0
0.9333333333333333	1	104	0	SCNN1A	4.9869E-18	sodium channel epithelial 1 subunit alpha	2004	2009	0	2	0.85	22		0.53	0.79	0
0.9767441860465116	0	77	0	MBL2	0.027157	mannose binding lectin 2	1993	2020	0	26	0.8	84		0.4	0.88	1
1.0	0	124	0	HFE	9.9398E-10	homeostatic iron regulator	1993	2020	0	24	0.8	77		0.43	0.88	1
0.9166666666666666	0	117	0	SCNN1B	1.4217E-9	sodium channel epithelial 1 subunit beta	2005	2006	0	2	0.8	18		0.58	0.71	0
0.9166666666666666	0	3	0	SLC26A9	9.3426E-6	solute carrier family 26 member 9	2017	2017	0	1	0.8	2		0.61	0.71	0
1.0	1	11	0	AGER	2.5887E-14	advanced glycosylation end-product specific receptor			0	0	0.8	52		0.37	0.88	0
1.0	0	8	0	HMOX1	3.3466E-7	heme oxygenase 1	2017	2017	0	1	0.75	85		0.38	0.88	0
1.0	0	22	0	SLC9A3	0.025132	solute carrier family 9 member A3	2017	2017	0	1	0.75	11		0.56	0.83	1
1.0	0	1	0	GSTM3	1.2366E-6	glutathione S-transferase mu 3	2017	2017	0	1	0.75	23		0.54	0.88	0
1.0	0	0	0	MIF	2.2471E-8	macrophage migration inhibitory factor	2005	2005	0	1	0.75	29		0.43	0.92	0
1.0	2	4	0	PTGS2	1.0	prostaglandin-endoperoxide synthase 2			0	0	0.75	147		0.34	0.88	0
1.0	0	38	0	KCNN4	5.7806E-8	potassium calcium-activated channel subfamily N member 4	2018	2018	0	1	0.7	8		0.49	0.83	0
1.0	0	1	0	CLCA4	4.4338E-15	chloride channel accessory 4	2013	2013	0	1	0.7	2		0.64	0.63	0
1.0	0	1	0	SLC6A14		solute carrier family 6 member 14	2017	2017	0	1	0.7	4		0.61	0.67	0
1.0	0	4	0	TLR5	0.33643	toll like receptor 5			0	0	0.7	12		0.5	0.88	0
0.6666666666666666	0	4	0	GSTM1		glutathione S-transferase mu 1			0	0	0.7	182		0.39	0.92	0
1.0	0	13	0	EDNRA	0.99906	endothelin receptor type A	2010	2010	0	1	0.65	21		0.45	0.88	0
1.0	0	85	0	SCNN1G	0.80584	sodium channel epithelial 1 subunit gamma	2006	2006	0	1	0.65	15		0.59	0.75	0
1.0	0	32	0	GCLC	0.99952	glutamate-cysteine ligase catalytic subunit	2006	2006	0	1	0.65	18		0.52	0.88	0
1.0	0	5	0	ADRB2	0.0010085	adrenoceptor beta 2			0	0	0.65	53		0.45	0.92	0
0.6	0	19	0	NOS3	2.4053E-25	nitric oxide synthase 3			0	0	0.65	119		0.39	0.92	0
1.0	0	6	0	TLR9	1.0365E-6	toll like receptor 9			0	0	0.65	24		0.41	0.88	0
0.6666666666666666	1	0	0	CD14	0.0029347	CD14 molecule			0	0	0.65	24		0.38	0.92	0
0.8333333333333334	0	13	0	NOS1	1.0	nitric oxide synthase 1			0	0	0.65	31		0.46	0.83	0
1.0	0	0	0	PTX3	6.1092E-10	pentraxin 3			0	0	0.65	10		0.42	0.88	0
1.0	0	12	0	FCGR2A	2.3199E-4	Fc gamma receptor IIa	1993	2020	0	17	0.6	45		0.46	0.83	2
0.8333333333333334	0	222	0	TNFRSF1A	0.99985	TNF receptor superfamily member 1A	2006	2006	0	1	0.6	38		0.4	0.88	0
1.0	1	727	0	ENG	1.0	endoglin	2019	2019	0	1	0.6	21		0.41	0.88	0
1.0	0	2	0	DCTN4	0.8694	dynactin subunit 4	2012	2012	0	1	0.6	2		0.64	0.71	0
1.0	0	247	0	FAS	0.99961	Fas cell surface death receptor			0	0	0.6	69		0.36	0.88	0
0.5	0	20	0	LTA	0.42383	lymphotoxin alpha			0	0	0.6	51		0.41	0.92	0
0.5	0	1	0	SERPINA3	1.1247E-12	serpin family A member 3			0	0	0.6	11		0.48	0.88	0
1.0	0	0	0	CEACAM3	3.6961E-10	CEA cell adhesion molecule 3	2010	2010	0	1	0.55	1		0.6	0.79	0
1.0	0	10	0	STX1A	0.99999	syntaxin 1A	2013	2013	0	1	0.55	11		0.48	0.88	0
1.0	0	0	0	CEACAM6	9.2781E-5	CEA cell adhesion molecule 6	2010	2010	0	1	0.55	3		0.52	0.79	0
1.0	0	6	0	HSPA1A	0.27696	heat shock protein family A (Hsp70) member 1A			0	0	0.55	36		0.4	0.88	0
1.0	0	296	0	CFTR-AS1		CFTR antisense RNA 1	1986	2024	0	407	0.5	12		0.78	0.33	280
1.0	0	4	0	SLC11A1	2.7796E-16	solute carrier family 11 member 1	1993	2020	0	18	0.5	41		0.51	0.88	1
1.0	0	4	0	CYP1A1	8.9759E-18	cytochrome P450 family 1 subfamily A member 1			0	0	0.5	96		0.43	0.88	0
