ei	N CTs	N variants g	N PMIDs Chemicals	Gene	pLI	Gene Full Name	First Ref.	Last Ref.	N Chemicals	N PMIDs	score	N diseases g	My Score	DSI g	DPI g	N variants gda
0.916030534351145	14	1	0	IFNB1		interferon beta 1	1999	2016	0	5	1.0	19		0.44	0.88	0
0.8850574712643678	13	193	0	IL2RA	5.1734E-6	interleukin 2 receptor subunit alpha	2007	2013	0	4	1.0	31		0.38	0.88	8
1.0	0	58	0	CLEC16A	1.9273E-5	C-type lectin domain containing 16A	2009	2009	0	2	1.0	10		0.58	0.79	6
0.8809523809523809	2	222	0	TNFRSF1A	0.99985	TNF receptor superfamily member 1A	2009	2013	0	2	1.0	38		0.4	0.88	3
0.9038461538461539	2	34	0	CD40	0.030332	CD40 molecule	2009	2009	0	1	1.0	37		0.39	0.92	1
0.8410852713178295	2	41	0	HLA-DRB1		major histocompatibility complex, class II, DR beta 1	2015	2015	0	1	1.0	154		0.36	0.88	0
0.782258064516129	34	19	0	IFNG	0.10687	interferon gamma	2013	2013	0	1	1.0	132		0.29	0.92	0
0.9635036496350365	32	0	0	IL17A	0.47699	interleukin 17A	2013	2013	0	1	1.0	36		0.32	0.96	0
0.9259259259259259	0	104	0	HLA-DQA1	6.3922E-4	major histocompatibility complex, class II, DQ alpha 1			0	0	1.0	99		0.38	0.88	1
0.8108108108108109	0	91	0	HLA-DQB1		major histocompatibility complex, class II, DQ beta 1			0	0	1.0	149		0.38	0.88	1
0.8737864077669902	12	9	0	MOG	3.053E-4	myelin oligodendrocyte glycoprotein			0	0	1.0	10		0.48	0.88	0
0.8670212765957447	5	4	0	MBP	0.11098	myelin basic protein			0	0	1.0	7		0.48	0.88	0
0.8504672897196262	41	10	0	IL6	0.19935	interleukin 6			0	0	1.0	214		0.25	0.96	0
0.9523809523809523	3	7	0	CD86	0.9259	CD86 molecule			0	0	1.0	12		0.43	0.79	2
0.8347826086956521	48	9	0	TNF	0.85687	tumor necrosis factor			0	0	1.0	315		0.25	0.96	0
0.75	0	41	0	HLA-DPB1	3.3596E-11	major histocompatibility complex, class II, DP beta 1	2008	2008	0	1	0.95	42		0.44	0.88	0
0.8532110091743119	41	51	0	IL10	0.48334	interleukin 10	2013	2013	0	1	0.95	129		0.29	0.96	0
0.9444444444444444	0	11	0	AGER	2.5887E-14	advanced glycosylation end-product specific receptor			0	0	0.95	52		0.37	0.88	0
0.9550561797752809	3	257	0	IL7R	2.4867E-8	interleukin 7 receptor	2007	2009	0	4	0.9	23		0.44	0.88	4
0.8333333333333334	19	5	0	IL1B	0.48761	interleukin 1 beta	2004	2015	0	2	0.9	166		0.28	0.96	0
0.95	1	2	0	CD6	5.0655E-15	CD6 molecule	2009	2013	0	2	0.9	1		0.58	0.79	1
0.9444444444444444	3	3	0	IL12A	4.7911E-4	interleukin 12A	2013	2013	0	1	0.9	14		0.37	0.96	1
0.9615384615384616	3	3	0	IL7	0.48838	interleukin 7	2007	2007	0	1	0.9	11		0.43	0.92	1
0.8181818181818182	12	349	0	PTPRC	1.0	protein tyrosine phosphatase receptor type C			0	0	0.9	13		0.39	0.88	0
0.8571428571428571	3	7	0	CD28	0.77951	CD28 molecule			0	0	0.9	14		0.41	0.92	0
0.8285714285714286	5	2	0	CCL2	0.098507	C-C motif chemokine ligand 2			0	0	0.9	102		0.33	0.92	0
0.75	0	241	0	TAP2	2.132E-11	transporter 2, ATP binding cassette subfamily B member			0	0	0.9	23		0.45	0.88	2
0.8666666666666667	6	40	0	MMP9	3.7082E-25	matrix metallopeptidase 9			0	0	0.9	108		0.31	0.92	0
0.6851851851851852	3	135	0	CTLA4	0.99828	cytotoxic T-lymphocyte associated protein 4			0	0	0.9	83		0.37	0.88	0
0.6666666666666666	0	41	0	NOTCH4	1.537E-34	notch receptor 4			0	0	0.9	19		0.44	0.83	3
0.8947368421052632	6	2	0	SPP1	1.7258E-7	secreted phosphoprotein 1			0	0	0.9	55		0.35	0.88	0
1.0	3	0	0	CD24	0.29452	CD24 molecule			0	0	0.9	6		0.44	0.83	0
0.8461538461538461	0	92	0	FASLG	0.76557	Fas ligand	2019	2019	0	1	0.85	49		0.39	0.88	0
0.9411764705882353	2	455	0	NLRP3	9.3769E-6	NLR family pyrin domain containing 3	2015	2015	0	1	0.85	40		0.35	0.92	0
0.8	0	179	0	VDR	0.0107	vitamin D receptor	2015	2015	0	1	0.85	77		0.37	0.92	0
0.625	0	15	0	GC	2.2635E-7	GC vitamin D binding protein	2015	2015	0	1	0.85	25		0.48	0.92	0
0.8333333333333334	3	10	0	ICAM1	1.834E-6	intercellular adhesion molecule 1	2010	2010	0	1	0.85	61		0.34	0.92	0
0.8	5	0	0	VCAM1	4.069E-9	vascular cell adhesion molecule 1	2010	2010	0	1	0.85	20		0.39	0.92	0
0.8571428571428571	0	25	0	HLA-DRA	0.70983	major histocompatibility complex, class II, DR alpha	2007	2007	0	1	0.85	10		0.45	0.88	1
0.8333333333333334	1	235	0	KCNJ10	0.46116	potassium inwardly rectifying channel subfamily J member 10	2013	2013	0	1	0.85	17		0.54	0.71	0
0.76	1	247	0	FAS	0.99961	Fas cell surface death receptor			0	0	0.85	69		0.36	0.88	0
0.7777777777777778	14	2	0	IL4	0.33956	interleukin 4			0	0	0.85	56		0.33	0.96	0
1.0	2	114	0	CD46	0.041512	CD46 molecule			0	0	0.85	21		0.48	0.88	0
0.5	5	106	0	IL1RN	0.0055013	interleukin 1 receptor antagonist	2015	2015	0	1	0.8	134		0.37	0.92	0
1.0	0	451	0	TYK2	1.4894E-7	tyrosine kinase 2	2009	2009	0	1	0.8	21		0.49	0.88	1
1.0	1	0	0	CCL13	0.084321	C-C motif chemokine ligand 13			0	0	0.8	6		0.55	0.83	0
0.6666666666666666	1	45	0	IL23R	0.0015362	interleukin 23 receptor			0	0	0.8	34		0.47	0.88	0
1.0	0	369	0	PRF1	2.8861E-4	perforin 1			0	0	0.8	18		0.42	0.88	0
0.8125	0	614	0	CIITA	2.2924E-13	class II major histocompatibility complex transactivator			0	0	0.8	14		0.51	0.79	0
1.0	1	165	0	IL21R	0.24466	interleukin 21 receptor			0	0	0.8	14		0.52	0.83	0
1.0	0	73	0	PSMB9	7.4741E-4	proteasome 20S subunit beta 9			0	0	0.8	12		0.45	0.79	0
0.8333333333333334	0	800	0	KIF1B	1.0	kinesin family member 1B	2008	2008	0	1	0.75	47		0.55	0.88	1
0.8	1	0	0	CCL20	0.33355	C-C motif chemokine ligand 20	2019	2019	0	1	0.75	18		0.45	0.88	0
0.9166666666666666	0	175	0	IRF8	0.99678	interferon regulatory factor 8	2009	2009	0	1	0.75	11		0.51	0.83	0
1.0	1	14	0	CD44	0.0015658	CD44 molecule (IN blood group)	2019	2019	0	1	0.75	35		0.36	0.88	0
0.6119402985074627	0	46	0	APOE	2.5529E-4	apolipoprotein E	2004	2004	0	1	0.75	105		0.35	0.92	0
1.0	0	6	0	P2RX7	4.2054E-13	purinergic receptor P2X 7	2007	2007	0	1	0.75	15		0.43	0.83	0
1.0	0	0	0	CASP1	0.017506	caspase 1	2015	2015	0	1	0.75	13		0.42	0.88	0
0.9	0	3	0	TNFSF14	0.0024476	TNF superfamily member 14	2013	2013	0	1	0.75	2		0.51	0.79	1
1.0	1	52	0	STAT4	0.93228	signal transducer and activator of transcription 4	2013	2013	0	1	0.75	33		0.44	0.88	2
0.7560975609756098	0	7	0	CCR5	0.18153	C-C motif chemokine receptor 5			0	0	0.75	49		0.42	0.88	0
0.8888888888888888	8	45	0	POMC	3.3396E-10	proopiomelanocortin	1988	1998	0	2	0.7	116		0.37	0.92	0
1.0	0	10	0	CBLB	0.99998	Cbl proto-oncogene B	2010	2010	0	1	0.7	5		0.55	0.75	2
1.0	1	2	0	SELE	9.6039E-12	selectin E	2010	2010	0	1	0.7	17		0.42	0.88	0
0.6666666666666666	0	4	0	SLC11A1	2.7796E-16	solute carrier family 11 member 1	2006	2006	0	1	0.7	41		0.51	0.88	0
1.0	0	701	0	JAG1	1.0	jagged canonical Notch ligand 1			0	0	0.7	39		0.44	0.88	0
1.0	0	8	0	RGMA	0.023578	repulsive guidance molecule BMP co-receptor a			0	0	0.7	1		0.6	0.79	0
1.0	0	43	0	MPHOSPH9	4.8974E-11	M-phase phosphoprotein 9			0	0	0.7	2		0.64	0.75	1
1.0	0	0	0	CCL1	1.4343E-4	C-C motif chemokine ligand 1			0	0	0.7	8		0.56	0.88	0
1.0	0	18	0	ERN1	0.95102	endoplasmic reticulum to nucleus signaling 1	2019	2019	0	1	0.65	9		0.49	0.83	0
1.0	0	64	0	TNFAIP3	1.0	TNF alpha induced protein 3	2013	2013	0	1	0.65	28		0.47	0.88	0
1.0	0	2	0	MCAM	3.5112E-13	melanoma cell adhesion molecule	2013	2013	0	1	0.65	8		0.47	0.83	0
0.3333333333333333	0	118	0	NECTIN2	0.014296	nectin cell adhesion molecule 2	2006	2006	0	1	0.65	19		0.52	0.88	0
1.0	0	2	0	SH2D2A	1.2191E-7	SH2 domain containing 2A			0	0	0.65	5		0.54	0.75	0
0.3333333333333333	0	19	0	IL4R	0.49751	interleukin 4 receptor			0	0	0.65	20		0.48	0.83	0
0.8888888888888888	0	19	0	IRF5	0.87295	interferon regulatory factor 5			0	0	0.65	13		0.48	0.88	0
0.8571428571428571	0	500	0	KIF5A	1.0	kinesin family member 5A			0	0	0.65	23		0.53	0.83	0
1.0	0	5	0	MMP12	2.681E-17	matrix metallopeptidase 12			0	0	0.65	17		0.47	0.83	0
0.6666666666666666	0	278	0	ND2		NADH dehydrogenase subunit 2			0	0	0.65	30		0.55	0.75	0
0.875	0	1	0	CNTF	4.9324E-6	ciliary neurotrophic factor			0	0	0.65	12		0.54	0.83	0
0.6666666666666666	0	2	0	A2M	9.1331E-20	alpha-2-macroglobulin			0	0	0.65	20		0.5	0.88	0
0.5	0	0	0	GSTT1		glutathione S-transferase theta 1			0	0	0.65	151		0.42	0.88	0
0.6666666666666666	0	1387	0	POLG	2.0281E-26	DNA polymerase gamma, catalytic subunit			0	0	0.65	71		0.45	0.88	0
1.0	0	11	0	CNP	0.9998	2',3'-cyclic nucleotide 3' phosphodiesterase			0	0	0.65	7		0.54	0.83	0
0.6	0	4	0	GSTM1		glutathione S-transferase mu 1			0	0	0.65	182		0.39	0.92	0
1.0	0	0	0	HLA-DRB3		major histocompatibility complex, class II, DR beta 3			0	0	0.65	5		0.52	0.88	0
1.0	0	0	0	CCL7	0.0057106	C-C motif chemokine ligand 7			0	0	0.65	11		0.5	0.92	0
1.0	0	43	0	CAV1	0.01393	caveolin 1			0	0	0.65	44		0.4	0.88	0
1.0	0	18	0	NR1H3	0.75938	nuclear receptor subfamily 1 group H member 3	2016	2016	0	1	0.6	11		0.52	0.79	1
0.8888888888888888	0	7	0	CNR1	0.31479	cannabinoid receptor 1	2003	2003	0	1	0.6	52		0.46	0.88	0
1.0	0	123	0	BCHE	6.2149E-16	butyrylcholinesterase	2010	2010	0	1	0.6	48		0.46	0.92	0
0.75	0	4	0	CLDN11	0.99249	claudin 11	2015	2015	0	1	0.6	2		0.55	0.88	0
1.0	0	2092	0	DST	1.0	dystonin			0	0	0.6	20		0.51	0.88	6
1.0	0	17	0	PHACTR2	0.31086	phosphatase and actin regulator 2			0	0	0.6	3		0.67	0.75	1
0.8333333333333334	0	3	0	GSTP1	7.9827E-8	glutathione S-transferase pi 1			0	0	0.6	130		0.41	0.92	0
1.0	0	5	0	XBP1		X-box binding protein 1	2019	2019	0	1	0.55	16		0.46	0.88	0
1.0	0	12	0	H6PD	7.287E-14	hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase			0	0	0.55	6		0.61	0.75	0
1.0	0	215	0	ITPR1	1.0	inositol 1,4,5-trisphosphate receptor type 1			0	0	0.55	19		0.47	0.88	1
1.0	0	46	0	PNMT	9.0249E-9	phenylethanolamine N-methyltransferase			0	0	0.55	3		0.64	0.75	0
1.0	0	381	0	ATP6		ATP synthase F0 subunit 6			0	0	0.55	47		0.51	0.79	0
1.0	0	3	0	AIM2	1.1012E-11	absent in melanoma 2	2019	2019	0	1	0.5	2		0.48	0.88	0
1.0	0	88	0	PRNP	3.2079E-4	prion protein (Kanno blood group)	2019	2019	0	1	0.5	29		0.43	0.92	0
1.0	0	1	0	GSTM3	1.2366E-6	glutathione S-transferase mu 3			0	0	0.5	23		0.54	0.88	0
1.0	0	58	0	LAMB1	4.5176E-13	laminin subunit beta 1			0	0	0.5	15		0.55	0.83	1
1.0	0	66	0	LAMA5	5.1348E-58	laminin subunit alpha 5			0	0	0.5	20		0.53	0.88	1
1.0	0	3	0	CMAHP		cytidine monophospho-N-acetylneuraminic acid hydroxylase, pseudogene	2019	2019	0	1	0.45	1		0.56	0.79	0
1.0	0	2	0	HSP90AB1	1.0	heat shock protein 90 alpha family class B member 1			0	0	0.45	4		0.55	0.88	0
1.0	0	307	0	ATP8		ATP synthase F0 subunit 8			0	0	0.45	28		0.57	0.71	0
1.0	0	37	0	APOC2	0.074129	apolipoprotein C2			0	0	0.45	8		0.55	0.67	0
1.0	0	6	0	GABRA3		gamma-aminobutyric acid type A receptor subunit alpha3			0	0	0.45	10		0.59	0.88	0
1.0	0	65	0	NDUFS2	1.222E-5	NADH:ubiquinone oxidoreductase core subunit S2			0	0	0.45	15		0.61	0.67	0
1.0	0	3	0	RNF19A	0.54708	ring finger protein 19A, RBR E3 ubiquitin protein ligase	2019	2019	0	1	0.4	1		0.69	0.58	0
1.0	0	19	0	CD96	3.7844E-4	CD96 molecule	2019	2019	0	1	0.4	3		0.55	0.88	0
1.0	0	0	0	DUSP28	4.9913E-7	dual specificity phosphatase 28	2019	2019	0	1	0.4	1		0.81	0.25	0
1.0	0	30	0	RBPJ	1.0	recombination signal binding protein for immunoglobulin kappa J region	2015	2015	0	1	0.4	9		0.53	0.79	0
1.0	0	0	0	NABP1	1.8275E-4	nucleic acid binding protein 1	2019	2019	0	1	0.4	2		0.67	0.5	0
1.0	0	3	0	LRRC8C	0.95091	leucine rich repeat containing 8 VRAC subunit C	2019	2019	0	1	0.4	3		0.67	0.75	0
1.0	0	2	0	KLHL6	6.0457E-10	kelch like family member 6	2019	2019	0	1	0.4	2		0.76	0.42	0
1.0	0	0	0	SYS1	0.040259	SYS1 golgi trafficking protein	2019	2019	0	1	0.4	1		0.9	0.17	0
1.0	0	964	0	VHL	0.0019414	von Hippel-Lindau tumor suppressor	2019	2019	0	1	0.4	62		0.44	0.88	0
1.0	0	10	0	NEDD9	0.99982	neural precursor cell expressed, developmentally down-regulated 9	2019	2019	0	1	0.4	1		0.56	0.75	0
1.0	0	6	0	TRAF1	0.003096	TNF receptor associated factor 1	2019	2019	0	1	0.4	5		0.56	0.75	0
1.0	0	0	0	ZNF267	2.5493E-17	zinc finger protein 267	2019	2019	0	1	0.4	5		0.71	0.5	0
1.0	0	32	0	JARID2	1.0	jumonji and AT-rich interaction domain containing 2	2019	2019	0	1	0.4	14		0.55	0.83	0
