CITED2	TFAP2A
EP300	TFAP2A
ARRB2	RALGDS
SLC4A1	SLC4A1AP
ADRB1	GIPC1
CAPN1	PSEN2
MCM2	MCM5
CDC7	MCM2
CDK2	CDKN3
ARNT	SIM2
HBEGF	ZBTB16
ESR1	PPARGC1B
FGF7	HSPG2
HTT	SETD2
HAP1	HTT
HTT	ZDHHC17
HTT	HYPK
HTT	TRIP10
ID3	TCF3
IGF1R	IRS1
IGF1R	SOCS1
IRS1	PTK2
IRS1	MAPK8
INSR	IRS1
JAK2	PRMT5
JAK2	SOCS1
BYSL	KRT8
LMNA	LMNB1
BCL2	BNIPL
LYL1	NFKB1
ALOX5	COTL1
VAV1	XRCC6
NCF4	XRCC6
MRE11	XRCC6
LEF1	MITF
DHDDS	LOX
CDC7	MCM7
NGFR	PRKACB
LSM7	NPY1R
SNCA	SNCAIP
EPB41L1	NUMA1
MAP3K8	NFKB1
AKT1	PLXNA1
CDK10	ETS2
CSF1R	SOCS1
GLMN	MET
EZH2	VAV1
PAX5	TLE4
NRBF2	PPARA
PIK3CA	PIK3R3
PKD2	TRPC1
MAGI3	PTPRB
PDPK1	PRKCZ
PRKCZ	WWC1
ARHGDIG	RHOG
STX1A	UNC13B
CD27	SIVA1
NCAPG2	TAL1
NCF4	TXN
CBLL1	CDH1
BIN1	ITGA1
AR	FLNA
BMX	PTPN21
DLG3	LRP2
CTBP2	KLF8
SH3GL3	SH3KBP1
ARHGEF9	GPHN
POLA1	RBMS1
RPGR	RPGRIP1
PDE6D	RPGR
AR	RAN
AR	NR2C2
AR	NCOA3
AR	RNF4
AR	NCOA4
AR	PAK6
AR	RANBP9
AR	RCHY1
AR	PIAS2
YAF2	YY1
AVEN	BCL2L1
BCL2L1	RTN1
LRP2	MAGI1
ANKRA2	LRP2
DAB2	LRP2
PSTPIP1	PTPN12
PDE4D	PDE4DIP
CENPF	CENPF
PKN2	PTPN13
DSC3	PKP4
BCAR1	RAPGEF1
RANBP9	S100A7
NCBP1	NCBP2
ERBB4	YAP1
AP2M1	LY9
RTN1	UGCG
SERPINH1	UBQLN4
COPB1	COPG2
DAB2	MYO6
BCL2A1	BOK
BAD	BCL2A1
CSPG4	GRIP2
BIN1	ITGA3
BCAR1	YWHAZ
NCOA4	PPARG
EED	EZH2
CITED2	TFAP2C
PGR	UBE3A
GTF2I	LSM8
RFX5	RFXAP
PTK6	STAP2
PEG10	SIAH1
PEG10	SIAH2
NEDD4	UBE2D2
DRAP1	TTF2
CYTH2	IPCEF1
COPB2	RGS4
MAP2K5	MAP3K3
IL1RAP	TOLLIP
PDE6D	RND1
MCM3	MCM5
CDC7	MCM5
FYB1	SKAP1
CDC5L	TTF2
KAZN	PPL
LPAR2	TRIP6
E2F6	RYBP
RNF216	TLR3
RNF216	TLR4
FANCA	SMARCA4
TNFRSF25	TRADD
ITGA3	RABIF
RIPK1	RIPK3
BCL10	MALT1
HIC1	HIC1
BYSL	TROAP
PLCB2	TRPM7
PLXNB2	RND1
COPG1	COPG2
TNIP1	TTF2
DCP1A	TTF2
PDCD6IP	TTF2
PRDX4	TTF2
GADD45G	GADD45GIP1
PACSIN2	PACSIN3
SPTBN2	UNC13B
NBL1	UBQLN1
FHL5	FHL5
DISC1	FEZ1
BOK	MCL1
RNF216	TLR9
ABI3	ABI3BP
CDC7	ORC6
COL23A1	LSM8
ECT2	PARD6A
CECR2	LRPPRC
NRBF2	RARA
RARA	ZBTB16
MECR	RARA
FBLN5	LOXL1
MT2A	PRKD1
NPR1	PRKG1
MT-ND2	SRC
PAWR	THAP1
CDC7	MCM4
ARL6	ARL6IP5
NANOS1	PUM2
ARL6	ARL6IP4
ARL6	ARL6IP1
COPG1	COPZ2
RND1	UBXN11
ARL6	ATL2
ARL6	ARL6IP6
ECT2	KLHL20
CDK14	SEPTIN8
CDHR2	MAST2
C6orf47	FGFR3
ATP6V1E1	ATP6V1G2
CALCOCO2	TP53RK
LMO2	MAPRE2
EWSR1	PRTFDC1
CRACR2A	TRIM29
DCTD	LNX1
PTBP2	RBM10
GADD45G	RWDD2B
CALCOCO2	LGALS8
ZNF446	ZSCAN16
DDX19A	MDFI
DTX2	RBPMS
NUDT18	PCBD1
EWSR1	SLC22A24
LDOC1	LNX1
KRT15	SMARCD1
AASDHPPT	MDFI
ZNF446	ZSCAN32
KRT15	KRT6B
AP5Z1	MDFI
DTX2	VSNL1
NOL3	NOL3
CUTC	LNX1
FHL3	PHC2
NIF3L1	PRTFDC1
HOXB6	SAT1
FOXS1	RBPMS
LURAP1	THAP7
CCNH	ZNRD2
KRT15	PCM1
HK2	UBQLN1
DTX2	PLSCR1
RTL8A	UBQLN1
CALCOCO2	LNX1
FRMD6	RASSF8
DAZAP2	TENT5C
CEP63	MBIP
ADAMTSL4	DLK2
MDFI	TYMSOS
NT5C2	NUDT18
FAM160A2	RTN1
CAVIN2	NUDT18
EXOC8	TADA2A
DLK2	PLSCR1
DNAL4	DYNLL2
GADD45G	TSNAX
AKAP17A	MDFI
BATF2	DAZAP2
DEPP1	KRT15
BAHD1	MDFI
HGS	KRT19
PDE9A	TRIM32
DKK1	MDFI
GNAI2	MDFI
MDFI	ZNF426
MDFI	TMEM241
KRT19	SFI1
ACCS	ACCS
EFEMP2	FAM107A
EXOC8	KRT15
LNX1	SRSF1
ENOX1	NIF3L1
NTN4	PLSCR1
MAD1L1	NINL
BAHD1	KHDRBS3
FLAD1	PRTFDC1
MDFI	SLC9A1
NUDT18	TIFA
MDFI	SIX1
ABI2	KRT19
NUDT18	RAB3IL1
EWSR1	NLE1
CHIC2	MDFI
KHDRBS3	PSMF1
ZNF446	ZNF496
LNX1	NADK
MDFI	MDFI
TEX37	TRIP13
STX11	TAF6L
TENT5C	TRIP6
EFEMP2	SGTB
ENKD1	TSC22D4
FAM107A	TRIM37
CDC42EP1	RBPMS
KRT15	TCHP
FXR2	THAP1
DACH1	UBE2I
DOK2	KIFBP
KXD1	NUDT18
LPXN	ZNF426
RADIL	SFI1
C2orf88	PRKAR1A
PDLIM4	RBPMS
KRT15	SGF29
ENOX1	LNX1
FAM107A	LDOC1
GPRIN2	MDFI
GLIS3	SUFU
MDFI	ZBTB24
KRT19	KRT6B
FOSL1	LDOC1
KRT15	LDOC1
EMILIN1	MTMR9
PSME3	ZCCHC10
IL36RN	MCM6
LNX1	RPIA
KRT15	KRT18
MED4	TNFAIP8
KLHL12	SNX20
EFEMP2	PIDD1
ADAMTSL4	NTN4
LRRN4	MDFI
IFIT1	IFIT3
NOL3	SIRPA
KRT6A	WASHC3
AQP1	MDFI
FAM107A	TADA2A
MDFI	NR1H2
BEGAIN	DEF6
CCDC85B	SYT17
ARHGEF39	DVL2
CCDC33	KHDRBS3
FAM107A	VIM
HNRNPC	RBM41
CCDC85B	ZNF426
MDFI	SLC35A2
PDLIM7	SPP1
KRT19	PCM1
CRY1	MDFI
MDFI	ZBTB25
KANSL1	KRT15
KHDRBS3	LNX1
MDFI	REX1BD
KIFBP	RGR
SCAND1	ZSCAN20
CDC42	CDC42EP1
SEPTIN1	SEPTIN6
DHPS	NUDT18
KRT15	TUBGCP4
ENKD1	MDFI
CCNK	STX11
CCDC85B	LNX1
ENKD1	PLSCR1
PRUNE2	RCN3
EWSR1	RNF183
DHRS1	MDFI
EWSR1	TULP2
ARHGEF39	RBPMS
ISG15	USP18
LMO3	ZBTB43
CCDC85B	EZH2
KRT15	RCOR3
HSPB7	HSPB8
KXD1	TPM1
RHEBL1	TXNL4A
GSE1	NUDT18
MDFI	ZNF559
KRT15	TSG101
APIP	NUDT18
HOOK1	ZNF250
DACH1	NAGK
MMTAG2	THAP1
CTBP2	TEAD3
MAPK9	ZBTB25
HMG20A	MAGOHB
ABI3	HOMER1
BYSL	TRIM37
DUSP6	MDFI
CCDC33	ZNRD2
FASTK	MDFI
KLHL12	LNX1
NADK	NUDT18
MAD1L1	NONO
BEND5	CTNNBIP1
KCTD13	NUDT18
GABPB1	LMO3
NKAP	THAP1
CCDC85B	KRT6A
HOXB6	PLSCR1
COL8A1	KLHL12
MDFI	THAP7
IKZF3	UBE2I
KRT15	KRT19
TRAPPC6A	ZNRD2
LURAP1	SNAP29
SORBS2	YWHAE
MDFI	PIN1
MDFI	TRAF3IP2
LNX1	TRIP13
ILF3	MDFI
DEPP1	KRT19
C1orf216	KRT15
ENKD1	PDLIM7
IL36RN	SSBP4
CEP70	UTP14A
RARA	RXRG
CCDC85B	SIX1
AIMP2	LMO3
CCDC85B	RBM41
IL16	ZNRD2
ACCS	FBF1
KHDRBS3	NUDT18
LNX1	TIFA
DTX2	TRIP13
TANK	ZC3H12A
THAP1	THAP1
ABI3	KRT15
MDFI	NTAQ1
LNX1	RABAC1
PLEKHF2	RTN1
NUDT18	PSME3
CHMP4A	SYT17
KXD1	ZC4H2
EXOC8	KRT19
DHPS	EIF5A2
GSTZ1	GSTZ1
IFFO1	RNF183
LNX1	PCBD1
MDFI	ZNF707
EWSR1	RAB37
RCN3	SUFU
NINL	ZNF426
S100A1	S100A1
NOL3	VASP
KRT15	KRT6A
LURAP1	U2AF2
AIMP2	FHL3
KXD1	ZBTB25
HOXB9	MDFI
CETP	EWSR1
NME3	SGTA
KXD1	LMO3
FBXW5	MDFI
APPBP2	ZCCHC12
MDFI	RFX2
ZNF24	ZNF446
ZNRD2	ZNRD2
LDB1	LMO3
FHL3	MED15
BLOC1S6	LURAP1
MEOX2	SAMM50
DOCK10	LURAP1
CCT3	ZNRD2
LNX1	NAGK
RARA	RXRB
AP2B1	THAP1
MDFI	RABL6
KRT19	ZNF638
CCDC85B	LMO3
KXD1	STX11
CDC42EP1	FHL3
SMAD4	SMAD9
LMO3	PHC2
SEC23B	SEC24D
KCTD13	LNX1
NUDT18	ZBED1
DCAF8	MDFI
AIMP2	LNX1
PDE9A	PHYHIPL
VTA1	ZNRD2
MDFI	TINAGL1
NINL	SYT17
GTPBP3	PARP11
APIP	LNX1
ZNF232	ZNF446
DTX2	UBE2D4
MDFI	SFI1
H2AW	TCL1A
KXD1	RNF183
DDX17	LNX1
MAPRE2	NIF3L1
FHL3	LNX1
MDFI	SPG7
PRC1	TRIM37
KRT15	WAC
NIF3L1	NOL3
MDFI	ZNF136
LNX1	TRIM23
EWSR1	SERP2
NUDT18	RABAC1
HID1	RCN3
DTX2	HPCAL1
KIFBP	PLEKHF1
MDFI	METTL17
EPB41L3	MBIP
MDFI	PGLS
MEOX2	RND2
LNX1	SAT1
ADAMTSL4	FHL3
BATF	SNAPC5
DPEP1	KIFBP
EVI5L	NUDT18
NUDT18	RWDD1
SUFU	ZNF446
DTX2	NCALD
MAPRE2	MAPRE2
RAI2	SGTB
E2F6	TFDP1
CEP70	ZNF426
RBPMS	TEX37
SORBS3	ZBTB25
LNX1	TSC22D4
FHL3	LASP1
ELAVL4	EWSR1
CTH	CTH
SEPTIN1	TOLLIP
MDFI	PIDD1
KRT15	TXNDC11
CKB	SERP2
SIRPA	TRIM2
KHDRBS3	RBM7
MDFI	NPDC1
HOXB6	KRT15
SEC13	SEC16B
CKS2	TSC22D4
ATG12	MDFI
CALCOCO1	KRT15
HGS	LURAP1
LNX1	ZBTB43
CDC42EP1	MAPKAP1
APPBP2	MLLT3
COL8A1	EFEMP2
KLHL42	RCN3
CALCOCO2	TCL1A
DCTD	NUDT18
MCM5	MDFI
MDFI	NECTIN2
CREB3	MALL
TP53RK	TPRKB
IL36RN	SSBP2
SERPINI2	UBQLN1
CDC42EP1	PLSCR1
LRCH4	MDFI
NIF3L1	S100A1
FAM107A	HOOK2
MEOX2	TULP2
EYA2	RBPMS
BAALC	MDFI
CALCOCO2	ENKD1
KDM8	PCYT2
CALCOCO2	ZNF426
FAM160A2	REEP6
AMOTL2	MAGOHB
LMO3	MDFI
AAR2	GJA5
ASPA	ASPA
FHL3	TRIP6
CCDC85B	ENKD1
KRT15	RHPN1
DVL2	ENKD1
FAM107A	KRT15
ENOX1	ZBTB16
BEGAIN	FAM107A
HEY2	PLSCR1
EFEMP2	ZNF426
MDFI	TAP1
DNAL4	FHL5
INTS11	MDFI
AKIRIN2	LNX1
KXD1	LNX1
MDFI	ZNF581
APPBP2	TBL3
PSMD4	RASSF8
NUP62	THAP1
HSD17B14	NUDT18
CNNM3	MDFI
CAVIN2	PLEKHF2
SYT17	TSC22D4
LASP1	MDFI
EMILIN1	NMI
FHL3	RBM42
CCT5	ZNRD2
KRT15	LNX1
MDFI	ZNF764
TEAD3	WWTR1
NCBP1	RNF40
NUDT18	TRIM37
KRT15	NUDT18
SGTA	SYT4
DVL3	LNX1
NUDT18	PAICS
SP100	SUMO1
CHTF8	EIF4EBP1
CEP70	ENKD1
MAD1L1	TRIM29
DVL3	ZBTB48
FBP1	RNF183
EHMT2	LNX1
DUT	NUDT18
PRKAR1A	PYCARD
CCDC85B	FAM13C
THAP1	ZCCHC10
YIPF3	YIPF4
KRT15	ZNF638
AMOTL2	MAD1L1
CBFA2T2	MDFI
MDFI	ZNF101
HOMER1	SARG
APPBP2	PCSK5
AMOTL2	KRT15
FANCG	KRT19
DNPEP	MDFI
EWSR1	MDFI
KRT15	NIF3L1
LNX1	PAICS
PHF1	THAP1
AP2B1	TENT5C
CCDC85B	FAM107A
HIF1AN	INVS
KIAA1217	KRT15
HNRNPM	LMO3
ZNF446	ZSCAN9
CCDC85B	PRC1
MDFI	PHLDA1
GLUL	NUDT18
CDCA3	CTDSP1
CCDC85B	PIDD1
FAM86C1P	SAT1
KRT15	PSMA1
HNRNPC	LMO3
ABI2	KRT15
HGS	TADA2A
ABLIM1	KRT15
